name,	    hx,         hy,             hz,         mag,    diameter,	mass,	    orbit_distance,	orbit_period,	lower_temp,	upper_temp
The sun,	0,	        0,              0,          -26.7,  9.31e-03,   1.99e30,	0,	            0,	            5500,	    5500
Mercury,	0.160516,	-0.4147289,     -0.0485207, 1.5,    3.26e-05,	3.30e23,	0.3870992731,	88,	            -173,	    427
Venus,	    0.4542379,	0.561562,       -0.0186525, -3.8,   8.09e-05,	4.87e24,	0.7233356631,	225,	        462,	    462
Earth,	    0.7959557,	-0.6265195,     0,          0,      8.53e-05,	5.97e24,	1.000002616,	365.24,	        -88,	    58
Mars,	    -1.1134651,	1.2183747,      0.0528714,  1.76,   4.54e-05,	6.42e23,	1.523710351,	687,	        -153,	    20
Jupiter,	-4.818722,	-2.5377345,     0.118457,   -1.58,  9.56e-04,	1.90e27,	5.202887029,	4333,	        -148,	    -148
Saturn,	    -0.6503003,	-10.0575183,    0.2007754,  0.21,   8.06e-04,	5.68e26,	9.536675992,	10756,	        -178,	    -178
Uranus,	    17.9688409,	8.5988549,      -0.2009545, 5.8,    3.42e-04,	8.68e25,	19.18916474,	30687,	        -216,	    -216
Neptune,	28.5827906,	-8.8836553,     -0.4726156, 7.79,   3.31e-04,	1.02e26,	30.06992292,	60190,	        -214,	    -214
The moon,	0.797772,	-0.624822,      -0.0002255, -10.47, 2.32e-05,	7.35e22,	0.00256955529,  27.3,	        -233,	    123



















