name,	    hx,                 hy,                 hz,                 mag,    diameter,	mass,	    orbit_distance,	orbit_period,	lower_temp,	upper_temp
The sun,	 0,	                 0,                  0,                 -26.7,  9.31e-03,   1.99e30,	0,	            0,	            5500,	    5500
Mercury,	 24.012851813e9,	-62.042560358e9,    -7.258593405e9,      1.5,   3.26e-05,	3.30e23,	0.3870992731,	88,	            -173,	    427
Venus,	     67.953022631e9,	 84.008479466e9,    -2.790374283e9,     -3.8,   8.09e-05,	4.87e24,	0.7233356631,	225,	        462,	    462
Earth,	     119.073277892e9,	-93.725983152e9,     0,                  0,     8.53e-05,	5.97e24,	1.000002616,	365.24,	        -88,	    58
Mars,	    -166.572008059e9,	 182.266260835e9,    7.909448861e9,      1.76,  4.54e-05,	6.42e23,	1.523710351,	687,	        -153,	    20
Jupiter,	-720.870550695e9,	-379.639677602e9,    17.720914970e9,    -1.58,  9.56e-04,	1.90e27,	5.202887029,	4333,	        -148,	    -148
Saturn,	    -97.283540196e9,	-1504.583322206e9,   30.035572329e9,     0.21,  8.06e-04,	5.68e26,	9.536675992,	10756,	        -178,	    -178
Uranus,	     2688.100337587e9,	 1286.370383498e9,  -30.062365308e9,     5.8,   3.42e-04,	8.68e25,	19.18916474,	30687,	        -216,	    -216
Neptune,	 4275.924612424e9,	-1328.975916913e9,  -70.702287420e9,     7.79,  3.31e-04,	1.02e26,	30.06992292,	60190,	        -214,	    -214
The moon,	 119.344992504e9,	-93.472040767e9,    -0.033734319e9,     -10.47, 2.32e-05,	7.35e22,	0.00256955529,  27.3,	        -233,	    123
